time_ms,voltage_mV,m,h,n,injected_current_uA_per_cm2
0,-64.97405245162668,0.0530946517848473,0.5952130171676474,0.31807461723759,0
0.005,-64.97405245162668,0.0530946517848473,0.5952130171676474,0.31807461723759,0
0.01,-64.97405245162668,0.0530946517848473,0.5952130171676474,0.31807461723759,0
0.015,-64.97405245162668,0.0530946517848473,0.5952130171676474,0.31807461723759,0
0.02,-64.97405245162668,0.0530946517848473,0.5952130171676474,0.31807461723759,0
0.025,-64.97405245162668,0.0530946517848473,0.5952130171676474,0.31807461723759,0
0.03,-64.97405245162668,0.0530946517848473,0.5952130171676474,0.31807461723759,0
0.035,-64.97405245162668,0.0530946517848473,0.5952130171676474,0.31807461723759,0
0.04,-64.97405245162668,0.0530946517848473,0.5952130171676474,0.31807461723759,0
0.045,-64.97405245162668,0.0530946517848473,0.5952130171676474,0.31807461723759,0
0.05,-64.97405245162668,0.0530946517848473,0.5952130171676474,0.31807461723759,0
0.055,-64.97405245162668,0.0530946517848473,0.5952130171676474,0.31807461723759,0
0.06,-64.97405245162668,0.0530946517848473,0.5952130171676474,0.31807461723759,0
0.065,-64.97405245162668,0.0530946517848473,0.5952130171676474,0.31807461723759,0
0.07000000000000001,-64.97405245162668,0.0530946517848473,0.5952130171676474,0.31807461723759,0
0.075,-64.97405245162668,0.0530946517848473,0.5952130171676474,0.31807461723759,0
0.08,-64.97405245162668,0.0530946517848473,0.5952130171676474,0.31807461723759,0
0.08500000000000001,-64.97405245162668,0.0530946517848473,0.5952130171676474,0.31807461723759,0
0.09,-64.97405245162668,0.0530946517848473,0.5952130171676474,0.31807461723759,0
0.095,-64.97405245162668,0.0530946517848473,0.5952130171676474,0.31807461723759,0
0.1,-64.97405245162668,0.0530946517848473,0.5952130171676474,0.31807461723759,0
0.105,-64.97405245162668,0.0530946517848473,0.5952130171676474,0.31807461723759,0
0.11,-64.97405245162668,0.0530946517848473,0.5952130171676474,0.31807461723759,0
0.115,-64.97405245162668,0.0530946517848473,0.5952130171676474,0.31807461723759,0
0.12,-64.97405245162668,0.0530946517848473,0.5952130171676474,0.31807461723759,0
0.125,-64.97405245162668,0.0530946517848473,0.5952130171676474,0.31807461723759,0
0.13,-64.97405245162668,0.0530946517848473,0.5952130171676474,0.31807461723759,0
0.135,-64.97405245162668,0.0530946517848473,0.5952130171676474,0.31807461723759,0
0.14,-64.97405245162668,0.0530946517848473,0.5952130171676474,0.31807461723759,0
